abilities,attack,base_total,capture_rate,defense,hp,name,sp_attack,sp_defense,speed,type1,generation,is_legendary,has_sturdy,has_swift_swim,has_keen_eye,has_chlorophyll,has_levitate
"['Oblivious', 'Snow Cloak', 'Thick Fat']",50,250,225,40,50,Swinub,30,30,50,ice,2,0,0,0,0,0,0
"['Oblivious', 'Snow Cloak', 'Thick Fat']",100,450,75,80,100,Piloswine,60,60,50,ice,2,0,0,0,0,0,0
"['Hustle', 'Natural Cure', 'Regenerator']",55,410,60,95,65,Corsola,65,95,35,water,2,0,0,0,0,0,0
"['Hustle', 'Sniper', 'Moody']",65,300,190,35,35,Remoraid,65,35,65,water,2,0,0,0,0,0,0
"['Suction Cups', 'Sniper', 'Moody']",105,480,75,75,75,Octillery,105,75,45,water,2,0,0,0,0,0,0
"['Vital Spirit', 'Hustle', 'Insomnia']",55,330,45,45,45,Delibird,65,45,75,ice,2,0,0,0,0,0,0
"['Swift Swim', 'Water Absorb', 'Water Veil']",40,485,25,70,85,Mantine,80,140,70,water,2,0,0,1,0,0,0
"['Keen Eye', 'Sturdy', 'Weak Armor']",80,465,25,140,65,Skarmory,40,70,70,steel,2,0,1,0,1,0,0
"['Early Bird', 'Flash Fire', 'Unnerve']",60,330,120,30,45,Houndour,80,50,65,dark,2,0,0,0,0,0,0
"['Early Bird', 'Flash Fire', 'Unnerve']",90,600,45,90,75,Houndoom,140,90,115,dark,2,0,0,0,0,0,0
"['Swift Swim', 'Sniper', 'Damp']",95,540,45,95,75,Kingdra,95,95,85,water,2,0,0,1,0,0,0
"['Pickup', 'Sand Veil']",60,330,120,60,90,Phanpy,40,40,40,ground,2,0,0,0,0,0,0
"['Sturdy', 'Sand Veil']",120,500,60,120,90,Donphan,60,60,50,ground,2,0,1,0,0,0,0
"['Trace', 'Download', 'Analytic']",80,515,45,90,85,Porygon2,105,95,60,normal,2,0,0,0,0,0,0
"['Intimidate', 'Frisk', 'Sap Sipper']",95,465,45,62,73,Stantler,85,65,85,normal,2,0,0,0,0,0,0
"['Own Tempo', 'Technician', 'Moody']",20,250,45,35,55,Smeargle,20,45,75,normal,2,0,0,0,0,0,0
"['Guts', 'Steadfast', 'Vital Spirit']",35,210,75,35,35,Tyrogue,35,35,35,fighting,2,0,0,0,0,0,0
"['Intimidate', 'Technician', 'Steadfast']",95,455,45,95,50,Hitmontop,35,110,70,fighting,2,0,0,0,0,0,0
"['Oblivious', 'Forewarn', 'Hydration']",30,305,45,15,45,Smoochum,85,65,65,ice,2,0,0,0,0,0,0
"['Static', 'Vital Spirit']",63,360,45,37,45,Elekid,65,55,95,electric,2,0,0,0,0,0,0
"['Flame Body', 'Vital Spirit']",75,365,45,37,45,Magby,70,55,83,fire,2,0,0,0,0,0,0
"['Thick Fat', 'Scrappy', 'Sap Sipper']",80,490,45,105,95,Miltank,40,70,100,normal,2,0,0,0,0,0,0
"['Natural Cure', 'Serene Grace', 'Healer']",10,540,30,10,255,Blissey,75,135,55,normal,2,0,0,0,0,0,0
"['Pressure', 'Inner Focus']",85,580,3,75,90,Raikou,115,100,115,electric,2,1,0,0,0,0,0
"['Pressure', 'Inner Focus']",115,580,3,85,115,Entei,90,75,100,fire,2,1,0,0,0,0,0
"['Pressure', 'Inner Focus']",75,580,3,115,100,Suicune,90,115,85,water,2,1,0,0,0,0,0
"['Guts', 'Sand Veil']",64,300,45,50,50,Larvitar,45,50,41,rock,2,0,0,0,0,0,0
['Shed Skin'],84,410,45,70,70,Pupitar,65,70,51,rock,2,0,0,0,0,0,0
"['Sand Stream', 'Unnerve']",164,700,45,150,100,Tyranitar,95,120,71,rock,2,0,0,0,0,0,0
"['Pressure', 'Multiscale']",90,680,3,130,106,Lugia,90,154,110,psychic,2,1,0,0,0,0,0
"['Pressure', 'Regenerator']",130,680,3,90,106,Ho-Oh,110,154,90,fire,2,1,0,0,0,0,0
['Natural Cure'],100,600,45,100,100,Celebi,100,100,100,psychic,2,1,0,0,0,0,0
"['Overgrow', 'Unburden']",45,310,45,35,40,Treecko,65,55,70,grass,3,0,0,0,0,0,0
"['Overgrow', 'Unburden']",65,405,45,45,50,Grovyle,85,65,95,grass,3,0,0,0,0,0,0
"['Overgrow', 'Unburden']",110,630,45,75,70,Sceptile,145,85,145,grass,3,0,0,0,0,0,0
"['Blaze', 'Speed Boost']",60,310,45,40,45,Torchic,70,50,45,fire,3,0,0,0,0,0,0
"['Blaze', 'Speed Boost']",85,405,45,60,60,Combusken,85,60,55,fire,3,0,0,0,0,0,0
"['Blaze', 'Speed Boost']",160,630,45,80,80,Blaziken,130,80,100,fire,3,0,0,0,0,0,0
"['Torrent', 'Damp']",70,310,45,50,50,Mudkip,50,50,40,water,3,0,0,0,0,0,0
"['Torrent', 'Damp']",85,405,45,70,70,Marshtomp,60,70,50,water,3,0,0,0,0,0,0
"['Torrent', 'Damp']",150,635,45,110,100,Swampert,95,110,70,water,3,0,0,0,0,0,0
"['Run Away', 'Quick Feet', 'Rattled']",55,220,255,35,35,Poochyena,30,30,35,dark,3,0,0,0,0,0,0
"['Intimidate', 'Quick Feet', 'Moxie']",90,420,127,70,70,Mightyena,60,60,70,dark,3,0,0,0,0,0,0
"['Pickup', 'Gluttony', 'Quick Feet']",30,240,255,41,38,Zigzagoon,30,41,60,normal,3,0,0,0,0,0,0
"['Pickup', 'Gluttony', 'Quick Feet']",70,420,90,61,78,Linoone,50,61,100,normal,3,0,0,0,0,0,0
"['Shield Dust', 'Run Away']",45,195,255,35,45,Wurmple,20,30,20,bug,3,0,0,0,0,0,0
['Shed Skin'],35,205,120,55,50,Silcoon,25,25,15,bug,3,0,0,0,0,0,0
"['Swarm', 'Rivalry']",70,395,45,50,60,Beautifly,100,50,65,bug,3,0,0,0,0,0,0
['Shed Skin'],35,205,120,55,50,Cascoon,25,25,15,bug,3,0,0,0,0,0,0
"['Shield Dust', 'Compoundeyes']",50,385,45,70,60,Dustox,50,90,65,bug,3,0,0,0,0,0,0
"['Swift Swim', 'Rain Dish', 'Own Tempo']",30,220,255,30,40,Lotad,40,50,30,water,3,0,0,1,0,0,0
"['Swift Swim', 'Rain Dish', 'Own Tempo']",50,340,120,50,60,Lombre,60,70,50,water,3,0,0,1,0,0,0
"['Swift Swim', 'Rain Dish', 'Own Tempo']",70,480,45,70,80,Ludicolo,90,100,70,water,3,0,0,1,0,0,0
"['Chlorophyll', 'Early Bird', 'Pickpocket']",40,220,255,50,40,Seedot,30,30,30,grass,3,0,0,0,0,1,0
"['Chlorophyll', 'Early Bird', 'Pickpocket']",70,340,120,40,70,Nuzleaf,60,40,60,grass,3,0,0,0,0,1,0
"['Chlorophyll', 'Early Bird', 'Pickpocket']",100,480,45,60,90,Shiftry,90,60,80,grass,3,0,0,0,0,1,0
"['Guts', 'Scrappy']",55,270,200,30,40,Taillow,30,30,85,normal,3,0,0,0,0,0,0
"['Guts', 'Scrappy']",85,455,45,60,60,Swellow,75,50,125,normal,3,0,0,0,0,0,0
"['Keen Eye', 'Hydration', 'Rain Dish']",30,270,190,30,40,Wingull,55,30,85,water,3,0,0,0,1,0,0
"['Keen Eye', 'Drizzle', 'Rain Dish']",50,440,45,100,60,Pelipper,95,70,65,water,3,0,0,0,1,0,0
"['Synchronize', 'Trace', 'Telepathy']",25,198,235,25,28,Ralts,45,35,40,psychic,3,0,0,0,0,0,0
"['Synchronize', 'Trace', 'Telepathy']",35,278,120,35,38,Kirlia,65,55,50,psychic,3,0,0,0,0,0,0
"['Synchronize', 'Trace', 'Telepathy']",85,618,45,65,68,Gardevoir,165,135,100,psychic,3,0,0,0,0,0,0
"['Swift Swim', 'Rain Dish']",30,269,200,32,40,Surskit,50,52,65,bug,3,0,0,1,0,0,0
"['Intimidate', 'Unnerve']",60,454,75,62,70,Masquerain,100,82,80,bug,3,0,0,0,0,0,0
"['Effect Spore', 'Poison Heal', 'Quick Feet']",40,295,255,60,60,Shroomish,40,60,35,grass,3,0,0,0,0,0,0
"['Effect Spore', 'Poison Heal', 'Technician']",130,460,90,80,60,Breloom,60,60,70,grass,3,0,0,0,0,0,0
['Truant'],60,280,255,60,60,Slakoth,35,35,30,normal,3,0,0,0,0,0,0
['Vital Spirit'],80,440,120,80,80,Vigoroth,55,55,90,normal,3,0,0,0,0,0,0
['Truant'],160,670,45,100,150,Slaking,95,65,100,normal,3,0,0,0,0,0,0
"['Compoundeyes', 'Run Away']",45,266,255,90,31,Nincada,30,30,40,bug,3,0,0,0,0,0,0
"['Speed Boost', 'Infiltrator']",90,456,120,45,61,Ninjask,50,50,160,bug,3,0,0,0,0,0,0
['Wonder Guard'],90,236,45,45,1,Shedinja,30,30,40,bug,3,0,0,0,0,0,0
"['Soundproof', 'Rattled']",51,240,190,23,64,Whismur,51,23,28,normal,3,0,0,0,0,0,0
"['Soundproof', 'Scrappy']",71,360,120,43,84,Loudred,71,43,48,normal,3,0,0,0,0,0,0
"['Soundproof', 'Scrappy']",91,490,45,63,104,Exploud,91,73,68,normal,3,0,0,0,0,0,0
"['Thick Fat', 'Guts', 'Sheer Force']",60,237,180,30,72,Makuhita,20,30,25,fighting,3,0,0,0,0,0,0
"['Thick Fat', 'Guts', 'Sheer Force']",120,474,200,60,144,Hariyama,40,60,50,fighting,3,0,0,0,0,0,0
"['Thick Fat', 'Huge Power', 'Sap Sipper']",20,190,150,40,50,Azurill,20,40,20,normal,3,0,0,0,0,0,0
"['Sturdy', 'Magnet Pull', 'Sand Force']",45,375,255,135,30,Nosepass,45,90,30,rock,3,0,1,0,0,0,0
"['Cute Charm', 'Normalize', 'Wonder Skin ']",45,260,255,45,50,Skitty,35,35,50,normal,3,0,0,0,0,0,0
"['Cute Charm', 'Normalize', 'Wonder Skin ']",65,400,60,65,70,Delcatty,55,55,90,normal,3,0,0,0,0,0,0
"['Keen Eye', 'Stall', 'Prankster']",85,480,45,125,50,Sableye,85,115,20,dark,3,0,0,0,1,0,0
"['Hyper Cutter', 'Intimidate', 'Sheer Force']",105,480,45,125,50,Mawile,55,95,50,steel,3,0,0,0,0,0,0
"['Sturdy', 'Rock Head', 'Heavy Metal']",70,330,180,100,50,Aron,40,40,30,steel,3,0,1,0,0,0,0
"['Sturdy', 'Rock Head', 'Heavy Metal']",90,430,90,140,60,Lairon,50,50,40,steel,3,0,1,0,0,0,0
"['Sturdy', 'Rock Head', 'Heavy Metal']",140,630,45,230,70,Aggron,60,80,50,steel,3,0,1,0,0,0,0
"['Pure Power', 'Telepathy']",40,280,180,55,30,Meditite,40,55,60,fighting,3,0,0,0,0,0,0
"['Pure Power', 'Telepathy']",100,510,90,85,60,Medicham,80,85,100,fighting,3,0,0,0,0,0,0
"['Static', 'Lightningrod', 'Minus']",45,295,120,40,40,Electrike,65,40,65,electric,3,0,0,0,0,0,0
"['Static', 'Lightningrod', 'Minus']",75,575,45,80,70,Manectric,135,80,135,electric,3,0,0,0,0,0,0
"['Plus', 'Lightningrod']",50,405,200,40,60,Plusle,85,75,95,electric,3,0,0,0,0,0,0
"['Minus', 'Volt Absorb']",40,405,200,50,60,Minun,75,85,95,electric,3,0,0,0,0,0,0
"['Illuminate', 'Swarm', 'Prankster']",73,430,150,75,65,Volbeat,47,85,85,bug,3,0,0,0,0,0,0
"['Oblivious', 'Tinted Lens', 'Prankster']",47,430,150,75,65,Illumise,73,85,85,bug,3,0,0,0,0,0,0
"['Natural Cure', 'Poison Point', 'Leaf Guard']",60,400,150,45,50,Roselia,100,80,65,grass,3,0,0,0,0,0,0
"['Liquid Ooze', 'Sticky Hold', 'Gluttony']",43,302,225,53,70,Gulpin,43,53,40,poison,3,0,0,0,0,0,0
"['Liquid Ooze', 'Sticky Hold', 'Gluttony']",73,467,75,83,100,Swalot,73,83,55,poison,3,0,0,0,0,0,0
"['Rough Skin', 'Speed Boost']",90,305,225,20,45,Carvanha,65,20,65,water,3,0,0,0,0,0,0
"['Rough Skin', 'Speed Boost']",140,560,60,70,70,Sharpedo,110,65,105,water,3,0,0,0,0,0,0
"['Water Veil', 'Oblivious', 'Pressure']",70,400,125,35,130,Wailmer,70,35,60,water,3,0,0,0,0,0,0
"['Water Veil', 'Oblivious', 'Pressure']",90,500,60,45,170,Wailord,90,45,60,water,3,0,0,0,0,0,0
"['Oblivious', 'Simple', 'Own Tempo']",60,305,255,40,60,Numel,65,45,35,fire,3,0,0,0,0,0,0
"['Magma Armor', 'Solid Rock', 'Anger Point']",120,560,150,100,70,Camerupt,145,105,20,fire,3,0,0,0,0,0,0
"['White Smoke', 'Drought', 'Shell Armor']",85,470,90,140,70,Torkoal,85,70,20,fire,3,0,0,0,0,0,0
"['Thick Fat', 'Own Tempo', 'Gluttony']",25,330,255,35,60,Spoink,70,80,60,psychic,3,0,0,0,0,0,0
"['Thick Fat', 'Own Tempo', 'Gluttony']",45,470,60,65,80,Grumpig,90,110,80,psychic,3,0,0,0,0,0,0
"['Own Tempo', 'Tangled Feet', 'Contrary']",60,360,255,60,60,Spinda,60,60,60,normal,3,0,0,0,0,0,0
"['Hyper Cutter', 'Arena Trap', 'Sheer Force']",100,290,255,45,45,Trapinch,45,45,10,ground,3,0,0,0,0,0,0
['Levitate'],70,340,120,50,50,Vibrava,50,50,70,ground,3,0,0,0,0,0,1
['Levitate'],100,520,45,80,80,Flygon,80,80,100,ground,3,0,0,0,0,0,1
"['Sand Veil', 'Water Absorb']",85,335,190,40,50,Cacnea,85,40,35,grass,3,0,0,0,0,0,0
"['Sand Veil', 'Water Absorb']",115,475,60,60,70,Cacturne,115,60,55,grass,3,0,0,0,0,0,0
"['Natural Cure', 'Cloud Nine']",40,310,255,60,45,Swablu,40,75,50,normal,3,0,0,0,0,0,0
"['Natural Cure', 'Cloud Nine']",110,590,45,110,75,Altaria,110,105,80,dragon,3,0,0,0,0,0,0
"['Immunity', 'Toxic Boost']",115,458,90,60,73,Zangoose,60,60,90,normal,3,0,0,0,0,0,0
"['Shed Skin', 'Infiltrator']",100,458,90,60,73,Seviper,100,60,65,poison,3,0,0,0,0,0,0
['Levitate'],55,460,45,65,90,Lunatone,95,85,70,rock,3,0,0,0,0,0,1
['Levitate'],95,460,45,85,90,Solrock,55,65,70,rock,3,0,0,0,0,0,1
"['Oblivious', 'Anticipation', 'Hydration']",48,288,190,43,50,Barboach,46,41,60,water,3,0,0,0,0,0,0
"['Oblivious', 'Anticipation', 'Hydration']",78,468,75,73,110,Whiscash,76,71,60,water,3,0,0,0,0,0,0
"['Hyper Cutter', 'Shell Armor', 'Adaptability']",80,308,205,65,43,Corphish,50,35,35,water,3,0,0,0,0,0,0
"['Hyper Cutter', 'Shell Armor', 'Adaptability']",120,468,155,85,63,Crawdaunt,90,55,55,water,3,0,0,0,0,0,0
['Levitate'],40,300,255,55,40,Baltoy,40,70,55,ground,3,0,0,0,0,0,1
['Levitate'],70,500,90,105,60,Claydol,70,120,75,ground,3,0,0,0,0,0,1
"['Suction Cups', 'Storm Drain']",41,355,45,77,66,Lileep,61,87,23,rock,3,0,0,0,0,0,0
"['Suction Cups', 'Storm Drain']",81,495,45,97,86,Cradily,81,107,43,rock,3,0,0,0,0,0,0
"['Battle Armor', 'Swift Swim']",95,355,45,50,45,Anorith,40,50,75,rock,3,0,0,1,0,0,0
"['Battle Armor', 'Swift Swim']",125,495,45,100,75,Armaldo,70,80,45,rock,3,0,0,1,0,0,0
"['Swift Swim', 'Oblivious', 'Adaptability']",15,200,255,20,20,Feebas,10,55,80,water,3,0,0,1,0,0,0
"['Marvel Scale', 'Competitive', 'Cute Charm']",60,540,60,79,95,Milotic,100,125,81,water,3,0,0,0,0,0,0
['Forecast'],70,420,45,70,70,Castform,70,70,70,normal,3,0,0,0,0,0,0
"['Color Change', 'Protean']",90,440,200,70,60,Kecleon,60,120,40,normal,3,0,0,0,0,0,0
"['Insomnia', 'Frisk', 'Cursed Body']",75,295,225,35,44,Shuppet,63,33,45,ghost,3,0,0,0,0,0,0
"['Insomnia', 'Frisk', 'Cursed Body']",165,555,45,75,64,Banette,93,83,75,ghost,3,0,0,0,0,0,0
"['Levitate', 'Frisk']",40,295,190,90,20,Duskull,30,90,25,ghost,3,0,0,0,0,0,1
"['Pressure', 'Frisk']",70,455,90,130,40,Dusclops,60,130,25,ghost,3,0,0,0,0,0,0
"['Chlorophyll', 'Solar Power', 'Harvest']",68,460,200,83,99,Tropius,72,87,51,grass,3,0,0,0,0,1,0
['Levitate'],50,455,45,80,75,Chimecho,95,90,65,psychic,3,0,0,0,0,0,1
"['Pressure', 'Super Luck', 'Justified']",150,565,30,60,65,Absol,115,60,115,dark,3,0,0,0,0,0,0
"['Shadow Tag', 'Telepathy']",23,260,125,48,95,Wynaut,23,48,23,psychic,3,0,0,0,0,0,0
"['Inner Focus', 'Ice Body', 'Moody']",50,300,190,50,50,Snorunt,50,50,50,ice,3,0,0,0,0,0,0
"['Inner Focus', 'Ice Body', 'Moody']",120,580,75,80,80,Glalie,120,80,100,ice,3,0,0,0,0,0,0
"['Thick Fat', 'Ice Body', 'Oblivious']",40,290,255,50,70,Spheal,55,50,25,ice,3,0,0,0,0,0,0
"['Thick Fat', 'Ice Body', 'Oblivious']",60,410,120,70,90,Sealeo,75,70,45,ice,3,0,0,0,0,0,0
"['Thick Fat', 'Ice Body', 'Oblivious']",80,530,45,90,110,Walrein,95,90,65,ice,3,0,0,0,0,0,0
"['Shell Armor', 'Rattled']",64,345,255,85,35,Clamperl,74,55,32,water,3,0,0,0,0,0,0
"['Swift Swim', 'Water Veil']",104,485,60,105,55,Huntail,94,75,52,water,3,0,0,1,0,0,0
"['Swift Swim', 'Hydration']",84,485,60,105,55,Gorebyss,114,75,52,water,3,0,0,1,0,0,0
"['Swift Swim', 'Rock Head', 'Sturdy']",90,485,25,130,100,Relicanth,45,65,55,water,3,0,1,1,0,0,0
"['Swift Swim', 'Hydration']",30,330,225,55,43,Luvdisc,40,65,97,water,3,0,0,1,0,0,0
"['Rock Head', 'Sheer Force']",75,300,45,60,45,Bagon,40,30,50,dragon,3,0,0,0,0,0,0
"['Rock Head', 'Overcoat']",95,420,45,100,65,Shelgon,60,50,50,dragon,3,0,0,0,0,0,0
"['Intimidate', 'Moxie']",145,700,45,130,95,Salamence,120,90,120,dragon,3,0,0,0,0,0,0
"['Clear Body', 'Light Metal']",55,300,3,80,40,Beldum,35,60,30,steel,3,0,0,0,0,0,0
"['Clear Body', 'Light Metal']",75,420,3,100,60,Metang,55,80,50,steel,3,0,0,0,0,0,0
"['Clear Body', 'Light Metal']",145,700,3,150,80,Metagross,105,110,110,steel,3,0,0,0,0,0,0
"['Clear Body', 'Sturdy']",100,580,3,200,80,Regirock,50,100,50,rock,3,1,1,0,0,0,0
"['Clear Body', 'Ice Body']",50,580,3,100,80,Regice,100,200,50,ice,3,1,0,0,0,0,0
"['Clear Body', 'Light Metal']",75,580,3,150,80,Registeel,75,150,50,steel,3,1,0,0,0,0,0
['Levitate'],100,700,3,120,80,Latias,140,150,110,dragon,3,1,0,0,0,0,1
['Levitate'],130,700,3,100,80,Latios,160,120,110,dragon,3,1,0,0,0,0,1
['Drizzle'],150,770,3,90,100,Kyogre,180,160,90,water,3,1,0,0,0,0,0
['Drought'],180,770,3,160,100,Groudon,150,90,90,ground,3,1,0,0,0,0,0
['Air Lock'],180,780,45,100,105,Rayquaza,180,100,115,dragon,3,1,0,0,0,0,0
['Serene Grace'],100,600,3,100,100,Jirachi,100,100,100,steel,3,1,0,0,0,0,0
['Pressure'],95,600,3,90,50,Deoxys,95,90,180,psychic,3,1,0,0,0,0,0
"['Overgrow', 'Shell Armor']",68,318,45,64,55,Turtwig,45,55,31,grass,4,0,0,0,0,0,0
"['Overgrow', 'Shell Armor']",89,405,45,85,75,Grotle,55,65,36,grass,4,0,0,0,0,0,0
"['Overgrow', 'Shell Armor']",109,525,45,105,95,Torterra,75,85,56,grass,4,0,0,0,0,0,0
"['Blaze', 'Iron Fist']",58,309,45,44,44,Chimchar,58,44,61,fire,4,0,0,0,0,0,0
"['Blaze', 'Iron Fist']",78,405,45,52,64,Monferno,78,52,81,fire,4,0,0,0,0,0,0
"['Blaze', 'Iron Fist']",104,534,45,71,76,Infernape,104,71,108,fire,4,0,0,0,0,0,0
"['Torrent', 'Defiant']",51,314,45,53,53,Piplup,61,56,40,water,4,0,0,0,0,0,0
"['Torrent', 'Defiant']",66,405,45,68,64,Prinplup,81,76,50,water,4,0,0,0,0,0,0
"['Torrent', 'Defiant']",86,530,45,88,84,Empoleon,111,101,60,water,4,0,0,0,0,0,0
"['Keen Eye', 'Reckless']",55,245,255,30,40,Starly,30,30,60,normal,4,0,0,0,1,0,0
"['Intimidate', 'Reckless']",75,340,120,50,55,Staravia,40,40,80,normal,4,0,0,0,0,0,0
"['Intimidate', 'Reckless']",120,485,45,70,85,Staraptor,50,60,100,normal,4,0,0,0,0,0,0
"['Simple', 'Unaware', 'Moody']",45,250,255,40,59,Bidoof,35,40,31,normal,4,0,0,0,0,0,0
"['Simple', 'Unaware', 'Moody']",85,410,127,60,79,Bibarel,55,60,71,normal,4,0,0,0,0,0,0
"['Shed Skin', 'Run Away']",25,194,255,41,37,Kricketot,25,41,25,bug,4,0,0,0,0,0,0
"['Swarm', 'Technician']",85,384,45,51,77,Kricketune,55,51,65,bug,4,0,0,0,0,0,0
"['Rivalry', 'Intimidate', 'Guts']",65,263,235,34,45,Shinx,40,34,45,electric,4,0,0,0,0,0,0
"['Rivalry', 'Intimidate', 'Guts']",85,363,120,49,60,Luxio,60,49,60,electric,4,0,0,0,0,0,0
"['Rivalry', 'Intimidate', 'Guts']",120,523,45,79,80,Luxray,95,79,70,electric,4,0,0,0,0,0,0
"['Natural Cure', 'Poison Point', 'Leaf Guard']",30,280,255,35,40,Budew,50,70,55,grass,4,0,0,0,0,0,0
"['Natural Cure', 'Poison Point', 'Technician']",70,515,75,65,60,Roserade,125,105,90,grass,4,0,0,0,0,0,0
"['Mold Breaker', 'Sheer Force']",125,350,45,40,67,Cranidos,30,30,58,rock,4,0,0,0,0,0,0
"['Mold Breaker', 'Sheer Force']",165,495,45,60,97,Rampardos,65,50,58,rock,4,0,0,0,0,0,0
"['Sturdy', 'Soundproof']",42,350,45,118,30,Shieldon,42,88,30,rock,4,0,1,0,0,0,0
"['Sturdy', 'Soundproof']",52,495,45,168,60,Bastiodon,47,138,30,rock,4,0,1,0,0,0,0
"['Shed Skin', 'Overcoat']",29,224,120,45,40,Burmy,29,45,36,bug,4,0,0,0,0,0,0
"['Anticipation', 'Overcoat']",69,424,45,95,60,Wormadam,69,95,36,bug,4,0,0,0,0,0,0
"['Swarm', 'Tinted Lens']",94,424,45,50,70,Mothim,94,50,66,bug,4,0,0,0,0,0,0
"['Honey Gather', 'Hustle']",30,244,120,42,30,Combee,30,42,70,bug,4,0,0,0,0,0,0
"['Pressure', 'Unnerve']",80,474,45,102,70,Vespiquen,80,102,40,bug,4,0,0,0,0,0,0
"['Run Away', 'Pickup', 'Volt Absorb']",45,405,200,70,60,Pachirisu,45,90,95,electric,4,0,0,0,0,0,0
"['Swift Swim', 'Water Veil']",65,330,190,35,55,Buizel,60,30,85,water,4,0,0,1,0,0,0
"['Swift Swim', 'Water Veil']",105,495,75,55,85,Floatzel,85,50,115,water,4,0,0,1,0,0,0
['Chlorophyll'],35,275,190,45,45,Cherubi,62,53,35,grass,4,0,0,0,0,1,0
['Flower Gift'],60,450,75,70,70,Cherrim,87,78,85,grass,4,0,0,0,0,0,0
"['Sticky Hold', 'Storm Drain', 'Sand Force']",48,325,190,48,76,Shellos,57,62,34,water,4,0,0,0,0,0,0
"['Sticky Hold', 'Storm Drain', 'Sand Force']",83,475,75,68,111,Gastrodon,92,82,39,water,4,0,0,0,0,0,0
"['Technician', 'Pickup', 'Skill Link']",100,482,45,66,75,Ambipom,60,66,115,normal,4,0,0,0,0,0,0
"['Aftermath', 'Unburden', 'Flare Boost']",50,348,125,34,90,Drifloon,60,44,70,ghost,4,0,0,0,0,0,0
"['Aftermath', 'Unburden', 'Flare Boost']",80,498,60,44,150,Drifblim,90,54,80,ghost,4,0,0,0,0,0,0
"['Run Away', 'Klutz', 'Limber']",66,350,190,44,55,Buneary,44,56,85,normal,4,0,0,0,0,0,0
"['Cute Charm', 'Klutz', 'Limber']",136,580,60,94,65,Lopunny,54,96,135,normal,4,0,0,0,0,0,0
['Levitate'],60,495,45,60,60,Mismagius,105,105,105,ghost,4,0,0,0,0,0,1
"['Insomnia', 'Super Luck', 'Moxie']",125,505,30,52,100,Honchkrow,105,52,71,dark,4,0,0,0,0,0,0
"['Limber', 'Own Tempo', 'Keen Eye']",55,310,190,42,49,Glameow,42,37,85,normal,4,0,0,0,1,0,0
"['Thick Fat', 'Own Tempo', 'Defiant']",82,452,75,64,71,Purugly,64,59,112,normal,4,0,0,0,0,0,0
['Levitate'],30,285,120,50,45,Chingling,65,50,45,psychic,4,0,0,0,0,0,1
"['Stench', 'Aftermath', 'Keen Eye']",63,329,225,47,63,Stunky,41,41,74,poison,4,0,0,0,1,0,0
"['Stench', 'Aftermath', 'Keen Eye']",93,479,60,67,103,Skuntank,71,61,84,poison,4,0,0,0,1,0,0
"['Levitate', 'Heatproof', 'Heavy Metal']",24,300,255,86,57,Bronzor,24,86,23,steel,4,0,0,0,0,0,1
"['Levitate', 'Heatproof', 'Heavy Metal']",89,500,90,116,67,Bronzong,79,116,33,steel,4,0,0,0,0,0,1
"['Sturdy', 'Rock Head', 'Rattled']",80,290,255,95,50,Bonsly,10,45,10,rock,4,0,1,0,0,0,0
"['Soundproof', 'Filter', 'Technician']",25,310,145,45,20,Mime Jr.,70,90,60,psychic,4,0,0,0,0,0,0
"['Natural Cure', 'Serene Grace', 'Friend Guard']",5,220,130,5,100,Happiny,15,65,30,normal,4,0,0,0,0,0,0
"['Keen Eye', 'Tangled Feet', 'Big Pecks']",65,411,30,45,76,Chatot,92,42,91,normal,4,0,0,0,1,0,0
"['Pressure', 'Infiltrator']",92,485,100,108,50,Spiritomb,92,108,35,ghost,4,0,0,0,0,0,0
"['Sand Veil', 'Rough Skin']",70,300,45,45,58,Gible,40,45,42,dragon,4,0,0,0,0,0,0
"['Sand Veil', 'Rough Skin']",90,410,45,65,68,Gabite,50,55,82,dragon,4,0,0,0,0,0,0
"['Sand Veil', 'Rough Skin']",170,700,45,115,108,Garchomp,120,95,92,dragon,4,0,0,0,0,0,0
"['Pickup', 'Thick Fat', 'Gluttony']",85,390,50,40,135,Munchlax,40,85,5,normal,4,0,0,0,0,0,0
"['Steadfast', 'Inner Focus', 'Prankster']",70,285,75,40,40,Riolu,35,40,60,fighting,4,0,0,0,0,0,0
"['Steadfast', 'Inner Focus', 'Justified']",145,625,45,88,70,Lucario,140,70,112,fighting,4,0,0,0,0,0,0
"['Sand Stream', 'Sand Force']",72,330,140,78,68,Hippopotas,38,42,32,ground,4,0,0,0,0,0,0
"['Sand Stream', 'Sand Force']",112,525,60,118,108,Hippowdon,68,72,47,ground,4,0,0,0,0,0,0
"['Battle Armor', 'Sniper', 'Keen Eye']",50,330,120,90,40,Skorupi,30,55,65,poison,4,0,0,0,1,0,0
"['Battle Armor', 'Sniper', 'Keen Eye']",90,500,45,110,70,Drapion,60,75,95,poison,4,0,0,0,1,0,0
"['Anticipation', 'Dry Skin', 'Poison Touch']",61,300,140,40,48,Croagunk,61,40,50,poison,4,0,0,0,0,0,0
"['Anticipation', 'Dry Skin', 'Poison Touch']",106,490,75,65,83,Toxicroak,86,65,85,poison,4,0,0,0,0,0,0
['Levitate'],100,454,200,72,74,Carnivine,90,72,46,grass,4,0,0,0,0,0,1
"['Swift Swim', 'Storm Drain', 'Water Veil']",49,330,190,56,49,Finneon,49,61,66,water,4,0,0,1,0,0,0
